idx,f1,f2,f3,f4,f5,f6,f7,f8
0,0.42,0.44,0.48,0.54,0.5,0,0.48,0.22
1,0.5,0.54,0.48,0.65,0.5,0,0.53,0.22
2,0.4,0.42,0.57,0.35,0.5,0,0.53,0.25
3,0.51,0.51,0.52,0.51,0.5,0,0.54,0.22
4,0.53,0.54,0.43,0.1,0.5,0,0.57,0.32
5,0.51,0.51,0.43,0.87,0.5,0,0.52,0.22
6,0.74,0.67,0.47,0.34,0.5,0,0.42,0.22
7,0.4,0.45,0.57,0.18,0.5,0,0.56,0.26
8,0.37,0.36,0.56,0.18,0.5,0,0.48,0.26
9,0.74,0.75,0.58,0.47,0.5,0,0.4,0.35
10,0.53,0.44,0.51,0.33,0.5,0,0.55,0.22
11,0.54,0.48,0.44,0.08,0.5,0,0.52,0.27
12,0.6,0.47,0.45,0.22,0.5,0,0.51,0.29
13,0.81,0.85,0.47,0.37,0.5,0,0.56,0.22
14,0.5,0.58,0.46,0.46,0.5,0,0.46,0.22
15,0.51,0.54,0.6,0.57,0.5,0,0.58,0.22
16,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22
17,0.42,0.47,0.52,0.41,0.5,0,0.53,0.32
18,0.36,0.58,0.35,0.24,0.5,0,0.44,0.22
19,0.36,0.43,0.39,0.12,0.5,0,0.49,0.22
20,0.65,0.65,0.52,0.16,0.5,0,0.6,0.22
21,0.47,0.47,0.57,0.48,0.5,0,0.48,0.22
22,0.35,0.52,0.48,0.22,0.5,0,0.26,0.22
23,0.54,0.55,0.34,0.31,0.5,0,0.54,0.22
24,0.4,0.38,0.53,0.16,0.5,0,0.52,0.27
25,0.5,0.64,0.57,0.15,0.5,0,0.47,0.22
26,0.39,0.58,0.5,0.26,0.5,0,0.54,0.59
27,0.39,0.47,0.56,0.16,0.5,0,0.47,0.22
28,0.58,0.48,0.51,0.47,0.5,0,0.55,0.22
29,0.43,0.57,0.53,0.16,0.5,0,0.54,0.22
30,0.26,0.36,0.47,0.34,0.5,0,0.53,0.72
31,0.36,0.68,0.46,0.16,0.5,0,0.53,0.28
32,0.42,0.31,0.5,0.15,0.5,0,0.53,0.22
33,0.67,0.71,0.52,0.65,0.5,0,0.53,0.36
34,0.26,0.5,0.33,0.28,0.5,0,0.51,0.22
35,0.31,0.44,0.53,0.23,0.5,0,0.51,0.32
36,0.38,0.68,0.44,0.45,0.5,0,0.53,0.22
37,0.48,0.64,0.61,0.23,0.5,0,0.6,0.22
38,0.32,0.42,0.52,0.24,0.5,0,0.6,0.22
39,0.42,0.58,0.41,0.65,0.5,0,0.46,0.26
40,0.59,0.61,0.34,0.22,0.5,0,0.51,0.22
41,0.52,0.77,0.38,0.34,0.5,0,0.51,0.22
42,0.5,0.52,0.6,0.51,0.5,0,0.48,0.22
43,0.77,0.79,0.58,0.23,0.5,0,0.48,0.22
44,0.82,0.75,0.54,0.23,0.5,0,0.46,0.22
45,0.4,0.56,0.48,0.14,0.5,0,0.47,0.22
46,0.42,0.57,0.72,0.22,0.5,0,0.57,0.22
47,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22
48,0.59,0.58,0.56,0.21,0.5,0,0.54,0.33
